# name,mass,radius,orbital_period,temp_calculated,temp_measured,molecules,star_distance
HD 121504 b,1.22,,63.33,,,,44.37
HD 122430 b,3.71,,344.95,,,,135
HD 125595 b,0.042,,9.6737,,,,27.4
HD 125612 b,3,,502,,,,52.82
HD 125612 c,0.058,,4.1547,,,,52.82
HD 125612 d,7.2,,3008,,,,52.82
HD 12648 b,2.9,,133.6,,,,158.4
HD 126525 b,0.224,,948.12,,,,38.1
HD 12661 b,2.3,,263.6,,,,37.16
HD 12661 c,1.57,,1708,,,,37.16
HD 126614 b,0.38,,1244,,,,72.4
HD 128311 b,2.18,,448.6,,,,16.6
HD 128311 c,3.21,,919,,,,16.6
HD 129445 b,1.6,,1840,,,,67.61
HD 130322 b,1.02,,10.72,,,,30
HD 131496 b,2.2,,883,,,,110
HD 13189 b,14,,471.6,,,,185
HD 132406 b,5.61,,974,,,,71
HD 132563B b,1.49,,1544,,,,96
HD 134060 b,0.0351,,3.27,,,,24.2
HD 134060 c,0.1507,,1160.9,,,,24.2
HD 134606 b,0.0292,,12.083,,,,26.5
HD 134606 c,0.0382,,59.519,,,,26.5
HD 134606 d,0.121,,459.26,,,,26.5
HD 134987 b,1.59,,258.19,,,,22.2
HD 134987 c,0.82,,5000,,,,22.2
HD 136352 b,0.0166,,11.577,,,,14.8
HD 136352 c,0.0358,,27.582,,,,14.8
HD 136352 d,0.03,,106.72,,,,14.8
HD 136418 b,2,,464.3,,,,98.2
HD 137388 b,0.223,,330,,,,38
HD 13808 b,0.0325,,14.182,,,,28.6
HD 13808 c,0.036,,53.832,,,,28.6
HD 13908 b,0.865,,19.382,,,,71.2
HD 13908 c,5.13,,931,,,,71.2
HD 13931 b,1.88,,4218,,,,44.2
HD 139357 b,9.76,,1125.7,,,,121.4
HD 14067 b,7.8,,1455,,,,163.4
HD 141399 b,0.46,,94.35,,,,36.17
HD 141399 c,1.36,,202.08,,,,36.17
HD 141399 d,1.22,,1070.35,,,,36.17
HD 141399 e,0.69,,3717.35,,,,36.17
HD 141937 b,9.7,,653.22,,,,33.46
HD 142 b,1.25,,349.7,,,,20.6
HD 142 c,5.3,,6005,,,,20.6
HD 142022 A b,5.1,,1928,,,,35.87
HD 142245 b,1.9,,1299,,,,109.5
HD 142415 b,1.62,,386.3,,,,34.2
HD 143361 b,3.12,,1057,,,,59.35
HD 145377 b,5.76,,103.95,,,,57.7
HD 145457 b,2.9,,176.3,,,,126
HD 145934 b,2.28,,2730,,,,
HD 1461 b,0.0203,,5.77152,,,,23.4
HD 1461 c,0.0176,,13.5052,,,,23.4
HD 147018 b,2.12,,44.236,,,,42.96
HD 147018 c,6.56,,1008,,,,42.96
HD 147513 b,1.21,,528.4,,,,12.9
HD 148156 b,0.85,,1010,,,,53.05
HD 148427 b,0.96,,331.5,,,,59.3
HD 149026 b,0.356,0.718,2.8758916,,,,78.9
HD 149143 b,1.33,1.05,4.07206,,,,63
HD 1502 b,3.1,,431.8,,,,159
HD 150433 b,0.168,,1096.2,,,,29.6
HD 150706 b,2.71,,5894,,,,27.2
HD 152079 b,3,,2097,,,,85.17
HD 152581 b,1.5,,689,,,,186
HD 153950 b,2.73,,499.4,,,,49.6
HD 154088 b,0.0193,,18.596,,,,17.8
HD 154345 b,1,,3538,,,,18.06
HD 154672 b,5.02,,163.91,,,,65.8
HD 154857 b,2.24,,408.6,,,,64.2
HD 154857 c,2.58,,3452,,,,64.2
HD 155233 b,2,,885,,,,75.1
HD 155358 b,0.85,,194.3,,,,43
HD 155358 c,0.82,,391.9,,,,43
HD 156279 b,9.71,,131.05,,,,36.6
HD 156411 b,0.74,,842.2,,,,55.1
HD 156668 b,0.0131,,4.646,,,,24.5
HD 157172 b,0.12,,104.84,,,,31.9
HD 158038 b,1.8,,521,,,,103.6
HD 159243 b,1.13,,12.62,,,,69.2
HD 159243 c,1.9,,248.4,,,,69.2
HD 159868 b,2.1,,1178.4,,,,52.7
HD 159868 c,0.73,,352.3,,,,52.7
HD 1605 b,0.96,,577.9,,,,84.6
HD 1605 c,3.48,,2111,,,,84.6
HD 16141 b,0.215,,75.82,,,,35.9
HD 16175 b,4.4,,990,,,,59.8
HD 162004 b,1.53,,3117,,,,22.16
HD 162020 b,14.4,,8.428198,,,,31.26
HD 163607 b,0.77,,75.229,,,,69
HD 163607 c,2.29,,1314,,,,69
HD 16417 b,0.069,,17.24,,,,25.5
HD 164509 b,0.48,,282.4,,,,52
HD 164595 b,0.0516,,40,,,,28.93
HD 164604 b,2.7,,606.4,,,,38
HD 164922 b,0.36,,1155,,,,21.93
HD 1666 b,6.43,,270,,,,110.6
HD 166724 b,3.53,,8100,,,,42.3
HD 167042 b,1.6,,416.1,,,,50
HD 168443 b,7.659,,58.11247,,,,37.38
HD 168443 c,17.193,,1749.83,,,,37.38
HD 168746 b,0.23,,6.403,,,,43.12
HD 1690 b,6.1,,533,,,,319
HD 169830 b,2.88,,225.62,,,,36.32
HD 169830 c,4.04,,2102,,,,36.32
HD 170469 b,0.67,,1145,,,,64.97
HD 17092 b,4.6,,359.9,,,,109
HD 171028 b,1.98,,550,,,,90
HD 171238 b,2.6,,1523,,,,50.28
HD 17156 b,3.191,1.095,21.2163979,,,,78.24
HD 173416 b,2.7,,323.6,,,,135
HD 175167 b,7.8,,1290,,,,67.02
HD 175541 b,0.61,,297.3,,,,128
HD 175607 b,0.0283,,29.01,,,,45.27
HD 176051 b,1.5,,1016,,,,14.99
HD 177830 b,1.49,,406.6,,,,59
HD 177830 c,0.15,,110.9,,,,59
HD 178911 B b,6.292,,71.487,,,,46.73
HD 179079 b,0.08,,14.476,,,,63.69
HD 179949 b,0.92,1.05,3.0925,,,"CO, H2O",27
HD 180314 b,22,,396.03,,,,132
HD 180902 b,1.6,,479,,,,110
HD 181342 b,3.3,,663,,,,110.6
HD 181433 b,0.0238,,9.3743,,,,26.15
HD 181433 c,0.64,,962,,,,26.15
HD 181433 d,0.54,,2172,,,,26.15
HD 181720 b,0.37,,956,,,,56
HD 183263 b,3.67,,626.5,,,,53
HD 183263 c,3.82,,2950,,,,53
HD 185269 b,0.94,,6.838,,,,47
HD 187085 b,0.75,,986,,,,44.98
HD 187123 b,0.52,,3.0965828,,,,50
